N,BlockSize,RunID,L2_TCM
256,0,1,2939
256,0,2,2280
256,0,3,2245
256,0,4,1498
256,0,5,1368
256,0,6,1196
256,0,7,902
256,0,8,1387
256,0,9,1294
256,0,10,1105
256,0,11,1258
256,0,12,1335
256,0,13,1552
256,0,14,1445
256,0,15,1404
256,0,16,1473
256,0,17,1486
256,0,18,1685
256,0,19,1452
256,0,20,1402
256,0,21,1471
256,0,22,1523
256,0,23,1515
256,0,24,1451
256,0,25,1043
256,0,26,787
256,0,27,684
256,0,28,1174
256,0,29,1167
256,0,30,762
256,0,31,920
256,0,32,1480
256,0,33,1120
256,0,34,1152
256,0,35,998
256,0,36,1098
256,0,37,1154
256,0,38,1188
256,0,39,1284
256,0,40,1881
256,0,41,991
256,0,42,931
256,0,43,696
256,0,44,715
256,0,45,752
256,0,46,745
256,0,47,673
256,0,48,702
256,0,49,721
256,0,50,772
256,0,51,711
256,0,52,685
256,0,53,790
256,0,54,758
256,0,55,710
256,0,56,737
256,0,57,716
256,0,58,950
256,0,59,719
256,0,60,727
256,0,61,693
256,0,62,1146
256,0,63,1446
256,0,64,945
256,0,65,759
256,0,66,1291
256,0,67,1069
256,0,68,727
256,0,69,737
256,0,70,1046
256,0,71,1449
256,0,72,845
256,0,73,717
256,0,74,737
256,0,75,728
256,0,76,729
256,0,77,726
256,0,78,733
256,0,79,732
256,0,80,731
256,0,81,948
256,0,82,812
256,0,83,763
256,0,84,875
256,0,85,710
256,0,86,893
256,0,87,890
256,0,88,751
256,0,89,728
256,0,90,747
256,0,91,725
256,0,92,729
256,0,93,723
256,0,94,702
256,0,95,725
256,0,96,687
256,0,97,703
256,0,98,753
256,0,99,732
256,0,100,746
512,0,1,84593
512,0,2,81650
512,0,3,89341
512,0,4,92758
512,0,5,93670
512,0,6,83169
512,0,7,87448
512,0,8,92736
512,0,9,93674
512,0,10,94079
512,0,11,95211
512,0,12,94360
512,0,13,88271
512,0,14,86138
512,0,15,90237
512,0,16,93664
512,0,17,91890
512,0,18,85815
512,0,19,85855
512,0,20,84277
512,0,21,85537
512,0,22,81748
512,0,23,81501
512,0,24,86499
512,0,25,81985
512,0,26,81858
512,0,27,81557
512,0,28,81474
512,0,29,90602
512,0,30,89101
512,0,31,90409
512,0,32,92439
512,0,33,90617
512,0,34,82510
512,0,35,81742
512,0,36,81879
512,0,37,81895
512,0,38,81779
512,0,39,81360
512,0,40,81478
512,0,41,81524
512,0,42,85264
512,0,43,85892
512,0,44,87060
512,0,45,82202
512,0,46,81157
512,0,47,90013
512,0,48,89492
512,0,49,85641
512,0,50,84460
512,0,51,90636
512,0,52,82222
512,0,53,81707
512,0,54,81728
512,0,55,81740
512,0,56,81354
512,0,57,81449
512,0,58,81454
512,0,59,81311
512,0,60,81735
512,0,61,81675
512,0,62,81110
512,0,63,81663
512,0,64,81981
512,0,65,81704
512,0,66,81615
512,0,67,81700
512,0,68,81781
512,0,69,81544
512,0,70,81547
512,0,71,81733
512,0,72,81524
512,0,73,89033
512,0,74,86303
512,0,75,81740
512,0,76,81493
512,0,77,82088
512,0,78,81596
512,0,79,81782
512,0,80,81537
512,0,81,81728
512,0,82,81764
512,0,83,81609
512,0,84,81816
512,0,85,81512
512,0,86,81505
512,0,87,81608
512,0,88,81760
512,0,89,82148
512,0,90,81275
512,0,91,81355
512,0,92,81617
512,0,93,81850
512,0,94,81895
512,0,95,81464
512,0,96,81638
512,0,97,81400
512,0,98,81975
512,0,99,81291
512,0,100,81845
1024,0,1,142953
1024,0,2,154145
1024,0,3,146020
1024,0,4,141253
1024,0,5,149339
1024,0,6,140260
1024,0,7,147767
1024,0,8,140485
1024,0,9,141527
1024,0,10,141040
1024,0,11,138200
1024,0,12,139055
1024,0,13,138195
1024,0,14,139392
1024,0,15,145765
1024,0,16,139783
1024,0,17,142493
1024,0,18,140504
1024,0,19,139579
1024,0,20,138173
1024,0,21,138797
1024,0,22,140440
1024,0,23,139184
1024,0,24,138429
1024,0,25,139224
1024,0,26,140394
1024,0,27,140213
1024,0,28,138858
1024,0,29,142568
1024,0,30,139593
1024,0,31,140009
1024,0,32,144137
1024,0,33,139835
1024,0,34,142364
1024,0,35,139438
1024,0,36,139555
1024,0,37,140068
1024,0,38,140366
1024,0,39,140088
1024,0,40,141830
1024,0,41,138999
1024,0,42,138195
1024,0,43,138957
1024,0,44,138113
1024,0,45,139040
1024,0,46,142490
1024,0,47,140144
1024,0,48,139372
1024,0,49,139847
1024,0,50,138548
1024,0,51,139367
1024,0,52,138603
1024,0,53,138687
1024,0,54,139010
1024,0,55,139213
1024,0,56,138762
1024,0,57,138296
1024,0,58,138545
1024,0,59,139225
1024,0,60,139444
1024,0,61,139568
1024,0,62,138019
1024,0,63,138593
1024,0,64,139330
1024,0,65,138363
1024,0,66,138143
1024,0,67,138660
1024,0,68,138869
1024,0,69,138004
1024,0,70,140836
1024,0,71,139131
1024,0,72,138886
1024,0,73,139142
1024,0,74,140280
1024,0,75,143362
1024,0,76,139777
1024,0,77,138653
1024,0,78,138567
1024,0,79,139412
1024,0,80,138374
1024,0,81,139115
1024,0,82,139457
1024,0,83,139512
1024,0,84,138672
1024,0,85,138787
1024,0,86,138405
1024,0,87,138548
1024,0,88,139613
1024,0,89,139388
1024,0,90,139384
1024,0,91,138947
1024,0,92,138374
1024,0,93,138935
1024,0,94,164051
1024,0,95,158309
1024,0,96,141694
1024,0,97,176650
1024,0,98,141023
1024,0,99,139144
1024,0,100,140376
2048,0,1,1743852
2048,0,2,1778139
2048,0,3,1772435
2048,0,4,1782690
2048,0,5,1776822
2048,0,6,1781467
2048,0,7,1778432
2048,0,8,1779564
