N,BlockSize,RunID,Time_ms
256,8,1,0.023327
256,8,2,0.023117
256,8,3,0.023187
256,8,4,0.023397
256,8,5,0.023327
256,8,6,0.023257
256,8,7,0.022907
256,8,8,0.023397
256,8,9,0.023467
256,8,10,0.024234
256,8,11,0.02186
256,8,12,0.02207
256,8,13,0.022279
256,8,14,0.02207
256,8,15,0.022
256,8,16,0.022
256,8,17,0.021861
256,8,18,0.021861
256,8,19,0.02193
256,8,20,0.02207
256,8,21,0.03059
256,8,22,0.022349
256,8,23,0.02228
256,8,24,0.022
256,8,25,0.022279
256,8,26,0.02186
256,8,27,0.022
256,8,28,0.022
256,8,29,0.02186
256,8,30,0.02186
256,8,31,0.022
256,8,32,0.02207
256,8,33,0.02228
256,8,34,0.02235
256,8,35,0.022489
256,8,36,0.02228
256,8,37,0.02207
256,8,38,0.022
256,8,39,0.022
256,8,40,0.022349
256,8,41,0.022349
256,8,42,0.022
256,8,43,0.022069
256,8,44,0.02193
256,8,45,0.022279
256,8,46,0.022
256,8,47,0.02186
256,8,48,0.02207
256,8,49,0.022489
256,8,50,0.022
256,8,51,0.02193
256,8,52,0.023676
256,8,53,0.021511
256,8,54,0.021511
256,8,55,0.021371
256,8,56,0.021302
256,8,57,0.021581
256,8,58,0.021372
256,8,59,0.021232
256,8,60,0.021581
256,8,61,0.021511
256,8,62,0.020883
256,8,63,0.021581
256,8,64,0.029054
256,8,65,0.021581
256,8,66,0.021371
256,8,67,0.021371
256,8,68,0.021581
256,8,69,0.021511
256,8,70,0.021721
256,8,71,0.02158
256,8,72,0.021372
256,8,73,0.021372
256,8,74,0.021092
256,8,75,0.021511
256,8,76,0.021371
256,8,77,0.021441
256,8,78,0.021022
256,8,79,0.021581
256,8,80,0.021301
256,8,81,0.021441
256,8,82,0.021441
256,8,83,0.021162
256,8,84,0.021441
256,8,85,0.021511
256,8,86,0.021441
256,8,87,0.020952
256,8,88,0.021022
256,8,89,0.021092
256,8,90,0.021301
256,8,91,0.021441
256,8,92,0.021162
256,8,93,0.021232
256,8,94,0.021232
256,8,95,0.021581
256,8,96,0.02193
256,8,97,0.022279
