N,BlockSize,RunID,Time_ms
256,0,1,0.040019
256,0,2,0.039949
256,0,3,0.038762
256,0,4,0.038623
256,0,5,0.038064
256,0,6,0.039251
256,0,7,0.049169
256,0,8,0.038623
256,0,9,0.038134
256,0,10,0.038761
256,0,11,0.038622
256,0,12,0.038203
256,0,13,0.038134
256,0,14,0.038273
256,0,15,0.038622
256,0,16,0.038553
256,0,17,0.038134
256,0,18,0.038552
256,0,19,0.038343
256,0,20,0.038623
256,0,21,0.038553
256,0,22,0.038623
256,0,23,0.038274
256,0,24,0.038972
256,0,25,0.038063
256,0,26,0.038133
256,0,27,0.038273
256,0,28,0.038063
256,0,29,0.038622
256,0,30,0.038622
256,0,31,0.038273
256,0,32,0.046724
256,0,33,0.038623
256,0,34,0.038762
256,0,35,0.038553
256,0,36,0.038483
256,0,37,0.038692
256,0,38,0.038483
256,0,39,0.038412
256,0,40,0.038133
256,0,41,0.038553
256,0,42,0.038692
256,0,43,0.038622
256,0,44,0.038483
256,0,45,0.038761
256,0,46,0.038622
256,0,47,0.038692
256,0,48,0.038483
256,0,49,0.038623
256,0,50,0.038692
256,0,51,0.038692
256,0,52,0.038483
256,0,53,0.038483
256,0,54,0.038203
256,0,55,0.038273
256,0,56,0.038552
256,0,57,0.049238
256,0,58,0.038901
256,0,59,0.038972
256,0,60,0.037575
256,0,61,0.038203
256,0,62,0.038692
256,0,63,0.038552
256,0,64,0.038063
256,0,65,0.037854
256,0,66,0.038692
256,0,67,0.038553
256,0,68,0.038622
256,0,69,0.038622
256,0,70,0.038762
256,0,71,0.038831
256,0,72,0.038972
256,0,73,0.038134
256,0,74,0.038762
256,0,75,0.038553
256,0,76,0.038063
256,0,77,0.038203
256,0,78,0.038482
256,0,79,0.038203
256,0,80,0.038133
256,0,81,0.038552
256,0,82,0.046864
256,0,83,0.037994
256,0,84,0.038552
256,0,85,0.038413
256,0,86,0.038204
256,0,87,0.038134
256,0,88,0.038064
256,0,89,0.038762
256,0,90,0.038692
256,0,91,0.038762
256,0,92,0.038553
256,0,93,0.038134
256,0,94,0.038273
256,0,95,0.038064
256,0,96,0.038552
256,0,97,0.038552
256,0,98,0.038972
256,0,99,0.038204
256,0,100,0.038623
512,0,1,0.734521
