N,BlockSize,RunID,L2_TCM
256,8,1,615
256,8,2,269
256,8,3,228
256,8,4,232
256,8,5,244
256,8,6,231
256,8,7,219
256,8,8,228
256,8,9,207
256,8,10,226
256,8,11,224
256,8,12,212
256,8,13,274
256,8,14,424
256,8,15,226
256,8,16,202
256,8,17,193
256,8,18,191
256,8,19,171
256,8,20,190
256,8,21,187
256,8,22,167
256,8,23,186
256,8,24,187
256,8,25,188
256,8,26,198
256,8,27,825
256,8,28,794
256,8,29,227
256,8,30,179
256,8,31,186
256,8,32,182
256,8,33,169
256,8,34,187
256,8,35,171
256,8,36,189
256,8,37,181
256,8,38,173
256,8,39,185
256,8,40,187
256,8,41,626
256,8,42,383
256,8,43,203
256,8,44,192
256,8,45,167
256,8,46,173
256,8,47,194
256,8,48,393
256,8,49,242
256,8,50,212
256,8,51,173
256,8,52,191
256,8,53,183
256,8,54,175
256,8,55,176
256,8,56,170
256,8,57,181
256,8,58,171
256,8,59,177
256,8,60,187
256,8,61,182
256,8,62,179
256,8,63,173
256,8,64,155
256,8,65,195
256,8,66,169
256,8,67,178
256,8,68,169
256,8,69,163
256,8,70,195
256,8,71,167
256,8,72,168
256,8,73,173
256,8,74,146
256,8,75,183
256,8,76,188
256,8,77,191
256,8,78,162
256,8,79,191
256,8,80,165
256,8,81,161
256,8,82,183
256,8,83,208
256,8,84,376
256,8,85,196
256,8,86,158
256,8,87,163
256,8,88,173
256,8,89,174
256,8,90,172
256,8,91,169
256,8,92,167
256,8,93,155
256,8,94,172
256,8,95,168
256,8,96,174
256,8,97,171
256,8,98,164
256,8,99,169
256,8,100,168
256,16,1,502
256,16,2,184
256,16,3,150
256,16,4,154
256,16,5,161
256,16,6,169
256,16,7,162
256,16,8,162
256,16,9,681
256,16,10,414
256,16,11,190
256,16,12,169
256,16,13,156
256,16,14,154
256,16,15,720
256,16,16,410
256,16,17,175
256,16,18,168
256,16,19,453
256,16,20,563
256,16,21,195
256,16,22,333
256,16,23,528
256,16,24,480
256,16,25,305
256,16,26,158
256,16,27,164
256,16,28,133
256,16,29,135
256,16,30,159
256,16,31,160
256,16,32,170
256,16,33,128
256,16,34,156
256,16,35,160
256,16,36,139
256,16,37,149
256,16,38,150
256,16,39,158
256,16,40,144
256,16,41,135
256,16,42,167
256,16,43,152
256,16,44,153
256,16,45,136
256,16,46,151
256,16,47,157
256,16,48,313
256,16,49,500
256,16,50,165
256,16,51,156
256,16,52,269
256,16,53,459
256,16,54,190
256,16,55,392
256,16,56,311
256,16,57,148
256,16,58,170
256,16,59,162
256,16,60,158
256,16,61,161
256,16,62,144
256,16,63,137
256,16,64,150
256,16,65,169
256,16,66,189
256,16,67,458
256,16,68,461
256,16,69,212
256,16,70,181
256,16,71,173
256,16,72,167
256,16,73,189
256,16,74,183
256,16,75,142
256,16,76,144
256,16,77,172
256,16,78,158
256,16,79,141
256,16,80,150
256,16,81,152
256,16,82,170
256,16,83,150
256,16,84,163
256,16,85,161
256,16,86,169
