N,BlockSize,RunID,L2_TCM
256,0,1,512
256,0,2,233
256,0,3,227
256,0,4,215
256,0,5,194
256,0,6,205
256,0,7,203
256,0,8,205
256,0,9,204
256,0,10,201
256,0,11,212
256,0,12,333
256,0,13,341
256,0,14,199
256,0,15,198
256,0,16,210
256,0,17,231
256,0,18,219
256,0,19,207
256,0,20,218
256,0,21,208
256,0,22,213
256,0,23,191
256,0,24,195
256,0,25,210
256,0,26,212
256,0,27,192
256,0,28,217
256,0,29,236
256,0,30,221
256,0,31,214
256,0,32,248
256,0,33,206
256,0,34,213
256,0,35,220
256,0,36,218
256,0,37,226
256,0,38,218
256,0,39,217
256,0,40,232
256,0,41,221
256,0,42,203
256,0,43,216
256,0,44,216
256,0,45,215
256,0,46,479
256,0,47,256
256,0,48,214
256,0,49,211
256,0,50,235
256,0,51,223
256,0,52,214
256,0,53,231
256,0,54,212
256,0,55,218
256,0,56,211
256,0,57,209
256,0,58,216
256,0,59,222
256,0,60,211
256,0,61,217
256,0,62,216
256,0,63,230
256,0,64,204
256,0,65,228
256,0,66,224
256,0,67,204
256,0,68,215
256,0,69,225
256,0,70,216
256,0,71,215
256,0,72,221
256,0,73,229
256,0,74,212
256,0,75,216
256,0,76,219
256,0,77,233
256,0,78,235
256,0,79,295
256,0,80,390
256,0,81,212
256,0,82,209
256,0,83,207
256,0,84,196
256,0,85,215
256,0,86,202
256,0,87,216
256,0,88,205
256,0,89,211
256,0,90,186
256,0,91,194
256,0,92,211
256,0,93,208
256,0,94,216
256,0,95,205
256,0,96,223
256,0,97,212
256,0,98,218
256,0,99,213
256,0,100,213
512,0,1,10594
512,0,2,10791
512,0,3,10825
512,0,4,10945
512,0,5,10842
512,0,6,10820
512,0,7,10900
512,0,8,10763
512,0,9,10868
512,0,10,10867
512,0,11,10793
512,0,12,10709
512,0,13,10813
512,0,14,10799
512,0,15,10691
512,0,16,10739
512,0,17,10668
512,0,18,10888
512,0,19,10934
512,0,20,10867
512,0,21,10797
512,0,22,10745
512,0,23,10835
512,0,24,10958
512,0,25,10827
512,0,26,10774
512,0,27,10716
512,0,28,10733
512,0,29,10762
512,0,30,10702
512,0,31,10879
512,0,32,10788
512,0,33,10878
512,0,34,10813
512,0,35,10911
512,0,36,10848
512,0,37,10780
512,0,38,10685
512,0,39,10781
512,0,40,10806
512,0,41,10569
512,0,42,10795
512,0,43,10793
512,0,44,10903
512,0,45,10784
512,0,46,10819
512,0,47,10827
512,0,48,10731
512,0,49,10772
512,0,50,10872
512,0,51,10805
512,0,52,10767
512,0,53,10839
512,0,54,10851
512,0,55,10754
512,0,56,10713
512,0,57,10705
512,0,58,10861
512,0,59,10816
512,0,60,10647
512,0,61,10851
512,0,62,10791
512,0,63,10855
512,0,64,10946
512,0,65,10841
512,0,66,10689
512,0,67,10889
512,0,68,10753
512,0,69,10850
512,0,70,10794
512,0,71,10845
512,0,72,10652
512,0,73,10895
512,0,74,10814
512,0,75,10822
512,0,76,10746
512,0,77,10768
512,0,78,10765
512,0,79,10773
512,0,80,10791
512,0,81,10753
512,0,82,10783
512,0,83,10820
512,0,84,10757
512,0,85,10735
512,0,86,10736
512,0,87,10833
512,0,88,10790
512,0,89,10719
512,0,90,10852
512,0,91,10848
512,0,92,10779
512,0,93,10758
512,0,94,10870
512,0,95,10805
512,0,96,10643
512,0,97,10878
512,0,98,10810
512,0,99,10725
512,0,100,10786
1024,0,1,22839
1024,0,2,25433
1024,0,3,23015
1024,0,4,25254
1024,0,5,27423
1024,0,6,28029
1024,0,7,36152
1024,0,8,20754
1024,0,9,22072
1024,0,10,21039
1024,0,11,20804
1024,0,12,21806
1024,0,13,21873
1024,0,14,21189
1024,0,15,20755
1024,0,16,21027
1024,0,17,20650
1024,0,18,21032
1024,0,19,21026
1024,0,20,20836
1024,0,21,21069
1024,0,22,21117
1024,0,23,21135
1024,0,24,21309
1024,0,25,20798
1024,0,26,21278
1024,0,27,20928
1024,0,28,21246
1024,0,29,21138
1024,0,30,21159
1024,0,31,20658
1024,0,32,21168
1024,0,33,20959
1024,0,34,21272
1024,0,35,20971
1024,0,36,21577
1024,0,37,21642
1024,0,38,20749
1024,0,39,20793
1024,0,40,20893
1024,0,41,21326
1024,0,42,20732
1024,0,43,20746
1024,0,44,20945
1024,0,45,21525
1024,0,46,20953
1024,0,47,20986
1024,0,48,21296
1024,0,49,21054
1024,0,50,20663
1024,0,51,21790
1024,0,52,20961
1024,0,53,20668
1024,0,54,21042
1024,0,55,21091
1024,0,56,21064
1024,0,57,20799
1024,0,58,20650
1024,0,59,21354
1024,0,60,20901
1024,0,61,20759
1024,0,62,20936
1024,0,63,20878
1024,0,64,20756
1024,0,65,20836
1024,0,66,21001
1024,0,67,20939
1024,0,68,20516
1024,0,69,22264
1024,0,70,20933
1024,0,71,21027
1024,0,72,20917
1024,0,73,20906
1024,0,74,21310
1024,0,75,20811
1024,0,76,21106
1024,0,77,20792
1024,0,78,21090
1024,0,79,20700
1024,0,80,20918
1024,0,81,20742
1024,0,82,20672
1024,0,83,21021
1024,0,84,21309
1024,0,85,21090
1024,0,86,20657
1024,0,87,20741
1024,0,88,21022
1024,0,89,20821
1024,0,90,20753
1024,0,91,21080
1024,0,92,20733
1024,0,93,20656
1024,0,94,20696
1024,0,95,20771
1024,0,96,20993
1024,0,97,20892
1024,0,98,20764
1024,0,99,20852
1024,0,100,21143
2048,0,1,126657
2048,0,2,131672
2048,0,3,133998
2048,0,4,124137
2048,0,5,121079
2048,0,6,126037
2048,0,7,123956
2048,0,8,123326
2048,0,9,123366
2048,0,10,122829
2048,0,11,122240
2048,0,12,122502
2048,0,13,126328
2048,0,14,121584
2048,0,15,122312
2048,0,16,122170
2048,0,17,123869
2048,0,18,122859
2048,0,19,121780
2048,0,20,122359
2048,0,21,123633
2048,0,22,122470
2048,0,23,122024
2048,0,24,124769
2048,0,25,123189
