N,BlockSize,RunID,L2_TCM
256,8,1,556
256,8,2,124
256,8,3,67
256,8,4,72
256,8,5,62
256,8,6,69
256,8,7,72
256,8,8,55
256,8,9,72
256,8,10,57
256,8,11,57
256,8,12,64
256,8,13,59
256,8,14,69
256,8,15,59
256,8,16,55
256,8,17,52
256,8,18,57
256,8,19,79
256,8,20,58
256,8,21,55
256,8,22,52
256,8,23,68
256,8,24,46
256,8,25,56
256,8,26,69
256,8,27,33
256,8,28,49
256,8,29,36
256,8,30,57
256,8,31,63
256,8,32,57
256,8,33,51
256,8,34,55
256,8,35,57
256,8,36,56
256,8,37,59
256,8,38,52
256,8,39,199
256,8,40,300
256,8,41,87
256,8,42,59
256,8,43,56
256,8,44,59
256,8,45,47
256,8,46,51
256,8,47,51
256,8,48,50
256,8,49,53
256,8,50,43
256,8,51,70
256,8,52,51
256,8,53,55
256,8,54,61
256,8,55,47
256,8,56,69
256,8,57,42
256,8,58,40
256,8,59,63
256,8,60,57
256,8,61,70
256,8,62,49
256,8,63,45
256,8,64,56
256,8,65,63
256,8,66,52
256,8,67,58
256,8,68,55
256,8,69,64
256,8,70,61
256,8,71,56
256,8,72,57
256,8,73,46
256,8,74,49
256,8,75,60
256,8,76,56
256,8,77,61
256,8,78,57
256,8,79,68
256,8,80,56
256,8,81,49
256,8,82,255
256,8,83,87
256,8,84,59
256,8,85,65
256,8,86,64
256,8,87,65
256,8,88,56
256,8,89,66
256,8,90,65
256,8,91,62
256,8,92,76
256,8,93,36
256,8,94,54
256,8,95,46
256,8,96,62
256,8,97,31
256,8,98,41
256,8,99,51
256,8,100,47
256,16,1,322
256,16,2,92
256,16,3,48
256,16,4,64
256,16,5,51
256,16,6,53
256,16,7,47
256,16,8,46
256,16,9,56
256,16,10,50
256,16,11,46
256,16,12,51
256,16,13,55
256,16,14,52
256,16,15,48
256,16,16,41
256,16,17,52
256,16,18,51
256,16,19,57
256,16,20,49
256,16,21,39
256,16,22,59
256,16,23,42
256,16,24,223
256,16,25,137
256,16,26,61
256,16,27,55
256,16,28,48
256,16,29,48
256,16,30,41
256,16,31,52
256,16,32,47
256,16,33,56
256,16,34,51
256,16,35,51
256,16,36,60
256,16,37,56
256,16,38,53
256,16,39,63
256,16,40,51
256,16,41,48
256,16,42,50
256,16,43,47
256,16,44,56
256,16,45,51
256,16,46,52
256,16,47,61
256,16,48,60
256,16,49,43
256,16,50,61
256,16,51,52
256,16,52,55
256,16,53,60
256,16,54,52
256,16,55,49
256,16,56,55
256,16,57,45
256,16,58,46
256,16,59,56
256,16,60,47
256,16,61,49
256,16,62,55
256,16,63,49
256,16,64,57
256,16,65,49
256,16,66,54
256,16,67,134
256,16,68,760
256,16,69,113
256,16,70,65
256,16,71,61
256,16,72,62
256,16,73,50
256,16,74,58
256,16,75,47
256,16,76,49
256,16,77,55
256,16,78,61
256,16,79,51
256,16,80,56
256,16,81,55
256,16,82,45
256,16,83,50
256,16,84,62
256,16,85,57
256,16,86,56
256,16,87,60
256,16,88,60
256,16,89,64
256,16,90,56
256,16,91,58
256,16,92,51
256,16,93,59
256,16,94,56
256,16,95,48
256,16,96,65
256,16,97,53
256,16,98,63
256,16,99,54
256,16,100,60
256,32,1,266
256,32,2,87
256,32,3,64
256,32,4,62
256,32,5,60
256,32,6,51
256,32,7,47
256,32,8,54
256,32,9,194
256,32,10,124
256,32,11,39
256,32,12,60
256,32,13,59
256,32,14,58
256,32,15,45
256,32,16,50
256,32,17,56
256,32,18,50
256,32,19,52
256,32,20,59
256,32,21,48
256,32,22,54
256,32,23,63
256,32,24,45
256,32,25,28
256,32,26,45
256,32,27,42
256,32,28,46
256,32,29,40
256,32,30,52
256,32,31,44
256,32,32,40
256,32,33,38
256,32,34,45
256,32,35,44
256,32,36,45
256,32,37,46
256,32,38,48
256,32,39,42
256,32,40,50
256,32,41,43
256,32,42,48
256,32,43,47
256,32,44,44
256,32,45,50
256,32,46,50
256,32,47,158
256,32,48,102
256,32,49,45
256,32,50,49
256,32,51,46
256,32,52,42
256,32,53,45
