N,BlockSize,RunID,L2_TCM
256,0,1,373
256,0,2,55
256,0,3,37
256,0,4,21
256,0,5,29
256,0,6,24
256,0,7,30
256,0,8,19
256,0,9,22
256,0,10,25
256,0,11,18
256,0,12,16
256,0,13,26
256,0,14,24
256,0,15,24
256,0,16,25
256,0,17,20
256,0,18,283
256,0,19,44
256,0,20,21
256,0,21,28
256,0,22,25
256,0,23,23
256,0,24,20
256,0,25,21
256,0,26,25
256,0,27,24
256,0,28,23
256,0,29,33
256,0,30,22
256,0,31,19
256,0,32,22
256,0,33,22
256,0,34,24
256,0,35,24
256,0,36,17
256,0,37,17
256,0,38,20
256,0,39,26
256,0,40,29
256,0,41,26
256,0,42,22
256,0,43,22
256,0,44,22
256,0,45,21
256,0,46,23
256,0,47,28
256,0,48,22
256,0,49,26
256,0,50,23
256,0,51,31
256,0,52,24
256,0,53,22
256,0,54,28
256,0,55,23
256,0,56,23
256,0,57,20
256,0,58,162
256,0,59,59
256,0,60,28
256,0,61,30
256,0,62,22
256,0,63,30
256,0,64,25
256,0,65,23
256,0,66,16
256,0,67,24
256,0,68,20
256,0,69,22
256,0,70,16
256,0,71,23
256,0,72,23
256,0,73,20
256,0,74,27
256,0,75,21
256,0,76,16
256,0,77,24
256,0,78,21
256,0,79,23
256,0,80,14
256,0,81,29
256,0,82,27
256,0,83,16
256,0,84,27
256,0,85,18
256,0,86,18
256,0,87,14
256,0,88,26
256,0,89,18
256,0,90,17
256,0,91,26
256,0,92,18
256,0,93,28
256,0,94,17
256,0,95,25
256,0,96,14
256,0,97,18
256,0,98,410
256,0,99,1071
256,0,100,288
512,0,1,10496
512,0,2,9908
512,0,3,9581
512,0,4,9458
512,0,5,10771
512,0,6,10728
512,0,7,10839
512,0,8,10859
512,0,9,10753
512,0,10,11029
512,0,11,10812
512,0,12,10766
512,0,13,10728
512,0,14,10732
512,0,15,10785
512,0,16,10891
512,0,17,10872
512,0,18,10871
512,0,19,10796
512,0,20,10862
512,0,21,10806
512,0,22,10770
512,0,23,10814
512,0,24,10742
512,0,25,10855
512,0,26,10847
512,0,27,10792
512,0,28,11030
512,0,29,10795
512,0,30,10872
512,0,31,10792
512,0,32,10889
512,0,33,10816
512,0,34,10701
512,0,35,10904
512,0,36,10703
512,0,37,10938
512,0,38,10942
512,0,39,10757
512,0,40,10693
512,0,41,10919
512,0,42,10766
512,0,43,10866
512,0,44,10876
512,0,45,10913
512,0,46,10802
512,0,47,10782
512,0,48,10803
512,0,49,10727
512,0,50,10777
512,0,51,10828
512,0,52,10807
512,0,53,10700
512,0,54,10779
512,0,55,10697
512,0,56,10785
512,0,57,10794
512,0,58,10963
512,0,59,10826
512,0,60,10811
512,0,61,10717
512,0,62,10726
512,0,63,10737
512,0,64,10833
512,0,65,10872
512,0,66,10802
512,0,67,10950
512,0,68,10842
512,0,69,10752
512,0,70,10766
512,0,71,10761
512,0,72,10889
512,0,73,10673
512,0,74,10869
512,0,75,10694
512,0,76,10682
512,0,77,11011
512,0,78,10707
512,0,79,10734
512,0,80,10832
512,0,81,10917
512,0,82,10762
512,0,83,10698
512,0,84,10742
512,0,85,10817
512,0,86,10729
512,0,87,11034
512,0,88,10777
512,0,89,10867
512,0,90,10863
512,0,91,10833
512,0,92,10732
512,0,93,10882
512,0,94,10745
512,0,95,10816
512,0,96,10813
512,0,97,10911
512,0,98,10799
512,0,99,10808
512,0,100,10796
1024,0,1,21169
1024,0,2,21022
1024,0,3,20582
1024,0,4,23628
1024,0,5,20907
1024,0,6,26538
1024,0,7,21604
1024,0,8,21305
1024,0,9,22612
1024,0,10,20678
1024,0,11,21500
1024,0,12,24407
1024,0,13,21061
1024,0,14,21278
1024,0,15,21001
1024,0,16,20739
1024,0,17,21006
1024,0,18,20872
1024,0,19,20886
1024,0,20,21041
1024,0,21,21655
1024,0,22,20838
1024,0,23,21170
1024,0,24,20787
1024,0,25,20761
1024,0,26,20793
1024,0,27,20926
1024,0,28,20710
1024,0,29,20895
1024,0,30,20795
1024,0,31,20828
1024,0,32,21222
1024,0,33,20783
1024,0,34,20855
1024,0,35,21011
1024,0,36,21037
1024,0,37,20913
1024,0,38,20937
1024,0,39,20717
1024,0,40,21177
1024,0,41,20863
1024,0,42,21113
1024,0,43,20833
1024,0,44,21345
1024,0,45,20985
1024,0,46,20764
1024,0,47,20838
1024,0,48,20896
1024,0,49,20730
1024,0,50,20905
1024,0,51,20818
1024,0,52,21596
1024,0,53,20781
1024,0,54,21969
1024,0,55,20713
1024,0,56,20920
1024,0,57,22522
1024,0,58,20644
1024,0,59,21349
1024,0,60,20988
1024,0,61,20959
1024,0,62,20686
1024,0,63,20741
1024,0,64,20948
1024,0,65,20820
1024,0,66,20813
1024,0,67,21141
1024,0,68,21140
1024,0,69,20902
1024,0,70,20977
1024,0,71,21354
1024,0,72,20979
1024,0,73,20739
1024,0,74,20987
1024,0,75,21014
1024,0,76,20830
1024,0,77,20942
1024,0,78,20891
1024,0,79,20606
1024,0,80,21017
1024,0,81,21304
1024,0,82,20782
1024,0,83,20715
1024,0,84,20857
1024,0,85,20979
1024,0,86,20600
1024,0,87,21063
1024,0,88,20676
1024,0,89,20819
1024,0,90,21126
1024,0,91,20806
1024,0,92,21062
1024,0,93,20887
1024,0,94,20992
1024,0,95,21007
1024,0,96,21324
1024,0,97,20904
1024,0,98,21401
1024,0,99,20784
1024,0,100,21471
2048,0,1,134803
2048,0,2,153783
2048,0,3,141091
2048,0,4,141030
2048,0,5,120182
2048,0,6,124083
2048,0,7,123671
2048,0,8,122163
2048,0,9,123283
2048,0,10,123508
2048,0,11,123849
2048,0,12,122786
2048,0,13,124665
2048,0,14,123194
2048,0,15,123761
2048,0,16,123636
2048,0,17,124748
2048,0,18,123860
2048,0,19,124223
2048,0,20,122445
2048,0,21,124284
2048,0,22,123627
2048,0,23,123628
2048,0,24,123381
2048,0,25,122606
2048,0,26,122571
2048,0,27,124125
2048,0,28,122453
2048,0,29,122685
2048,0,30,123100
2048,0,31,122426
2048,0,32,123326
2048,0,33,124083
2048,0,34,123497
2048,0,35,122769
2048,0,36,124105
2048,0,37,123984
2048,0,38,123417
2048,0,39,124649
2048,0,40,124428
2048,0,41,124474
2048,0,42,123064
2048,0,43,124137
2048,0,44,122748
2048,0,45,123839
2048,0,46,123875
2048,0,47,122670
2048,0,48,123190
2048,0,49,123139
2048,0,50,123862
2048,0,51,122638
2048,0,52,124113
2048,0,53,121891
2048,0,54,123709
2048,0,55,124023
2048,0,56,122471
2048,0,57,123027
2048,0,58,123689
2048,0,59,125996
2048,0,60,122754
2048,0,61,122753
2048,0,62,124151
2048,0,63,122318
2048,0,64,123042
2048,0,65,125065
2048,0,66,124632
2048,0,67,123954
2048,0,68,123411
2048,0,69,121884
2048,0,70,123937
2048,0,71,124933
2048,0,72,123099
2048,0,73,124038
2048,0,74,125388
2048,0,75,122829
2048,0,76,123862
2048,0,77,124311
2048,0,78,121908
2048,0,79,122753
2048,0,80,123845
2048,0,81,124730
2048,0,82,125029
2048,0,83,123767
2048,0,84,124361
2048,0,85,123535
2048,0,86,122920
2048,0,87,122185
2048,0,88,123230
2048,0,89,122768
2048,0,90,126021
2048,0,91,125685
2048,0,92,123983
2048,0,93,124506
