N,BlockSize,RunID,Time_ms
256,0,1,0.03946
256,0,2,0.037784
256,0,3,0.037644
256,0,4,0.038483
256,0,5,0.038413
256,0,6,0.038133
256,0,7,0.038133
256,0,8,0.050565
256,0,9,0.038622
256,0,10,0.038203
256,0,11,0.038483
256,0,12,0.038204
256,0,13,0.038134
256,0,14,0.038133
256,0,15,0.038273
256,0,16,0.038134
256,0,17,0.037993
256,0,18,0.037365
256,0,19,0.038203
256,0,20,0.038203
256,0,21,0.038552
256,0,22,0.037644
256,0,23,0.038133
256,0,24,0.037994
256,0,25,0.037924
256,0,26,0.038063
256,0,27,0.038133
256,0,28,0.044
256,0,29,0.045676
256,0,30,0.038971
256,0,31,0.038343
256,0,32,0.038622
256,0,33,0.049168
256,0,34,0.038133
256,0,35,0.038063
256,0,36,0.045467
256,0,37,0.047074
256,0,38,0.041905
256,0,39,0.037784
256,0,40,0.04379
256,0,41,0.045816
256,0,42,0.045816
256,0,43,0.037784
256,0,44,0.038133
256,0,45,0.038273
256,0,46,0.037225
256,0,47,0.046654
256,0,48,0.041136
256,0,49,0.04393
256,0,50,0.038063
256,0,51,0.038203
256,0,52,0.038203
256,0,53,0.037086
256,0,54,0.037156
256,0,55,0.038063
256,0,56,0.049517
256,0,57,0.038483
256,0,58,0.03967
256,0,59,0.043791
256,0,60,0.045816
256,0,61,0.044419
256,0,62,0.046025
256,0,63,0.045886
256,0,64,0.043791
256,0,65,0.038692
256,0,66,0.038692
256,0,67,0.038064
256,0,68,0.037854
256,0,69,0.038133
256,0,70,0.038273
256,0,71,0.038552
256,0,72,0.038063
256,0,73,0.038692
256,0,74,0.038482
256,0,75,0.038413
256,0,76,0.038622
256,0,77,0.038552
256,0,78,0.038692
256,0,79,0.038203
256,0,80,0.053149
256,0,81,0.038412
256,0,82,0.042953
256,0,83,0.038134
256,0,84,0.038761
256,0,85,0.038622
256,0,86,0.038483
256,0,87,0.038063
256,0,88,0.038133
256,0,89,0.038203
256,0,90,0.038622
256,0,91,0.038552
256,0,92,0.038692
256,0,93,0.038273
256,0,94,0.038273
256,0,95,0.038552
256,0,96,0.038133
256,0,97,0.038273
256,0,98,0.038622
256,0,99,0.038972
256,0,100,0.038064
512,0,1,0.790324
512,0,2,0.936781
512,0,3,0.952844
512,0,4,0.934895
512,0,5,0.627245
512,0,6,0.268191
512,0,7,0.275385
512,0,8,0.371276
512,0,9,0.585969
512,0,10,0.725302
512,0,11,0.804013
512,0,12,0.510191
512,0,13,0.437486
512,0,14,0.895296
512,0,15,0.70407
512,0,16,0.754984
512,0,17,0.942438
512,0,18,0.880419
512,0,19,0.438324
512,0,20,0.707981
512,0,21,0.436229
512,0,22,0.590438
512,0,23,0.683328
512,0,24,0.343061
512,0,25,0.697226
512,0,26,0.807644
512,0,27,0.764622
512,0,28,0.817842
512,0,29,0.807994
512,0,30,0.807086
512,0,31,0.78306
512,0,32,0.344876
512,0,33,0.269447
512,0,34,0.587295
512,0,35,0.362756
512,0,36,0.418419
512,0,37,0.891315
512,0,38,0.923162
512,0,39,0.907517
512,0,40,0.939575
512,0,41,0.940273
512,0,42,0.94621
512,0,43,0.918133
512,0,44,0.395302
512,0,45,0.641213
512,0,46,0.660629
512,0,47,0.338311
512,0,48,0.375396
512,0,49,0.727676
512,0,50,0.517873
512,0,51,0.927702
512,0,52,0.944953
512,0,53,0.936292
512,0,54,0.943975
512,0,55,0.940971
512,0,56,0.942578
512,0,57,0.94572
512,0,58,0.95487
512,0,59,0.949562
512,0,60,0.932521
512,0,61,0.933569
512,0,62,0.942578
512,0,63,0.946489
512,0,64,0.684165
512,0,65,0.556216
512,0,66,0.886775
512,0,67,0.938527
512,0,68,0.937829
512,0,69,0.933708
512,0,70,0.942508
512,0,71,0.935873
512,0,72,0.937689
512,0,73,0.934547
512,0,74,0.947327
512,0,75,0.931613
512,0,76,0.770489
512,0,77,0.934965
512,0,78,0.922254
512,0,79,0.924489
512,0,80,0.945441
512,0,81,0.94586
512,0,82,0.944883
512,0,83,0.549721
512,0,84,0.926165
512,0,85,0.908704
512,0,86,0.945372
512,0,87,0.943136
512,0,88,0.939156
512,0,89,0.951028
512,0,90,0.927772
512,0,91,0.931333
512,0,92,0.952635
512,0,93,0.944673
