N,BlockSize,RunID,Time_ms
256,0,1,0.023199
256,0,2,0.022011
256,0,3,0.021382
256,0,4,0.021382
256,0,5,0.021522
256,0,6,0.021032
256,0,7,0.021312
256,0,8,0.020963
256,0,9,0.020684
256,0,10,0.021382
256,0,11,0.020473
256,0,12,0.021452
256,0,13,0.021173
256,0,14,0.021452
256,0,15,0.021522
256,0,16,0.020963
256,0,17,0.021452
256,0,18,0.021522
256,0,19,0.021592
256,0,20,0.021802
256,0,21,0.020963
256,0,22,0.021173
256,0,23,0.021662
256,0,24,0.021242
256,0,25,0.021032
256,0,26,0.020893
256,0,27,0.020893
256,0,28,0.021522
256,0,29,0.021032
256,0,30,0.020404
256,0,31,0.021522
256,0,32,0.021173
256,0,33,0.021382
256,0,34,0.021382
256,0,35,0.021662
256,0,36,0.021731
256,0,37,0.021452
256,0,38,0.021103
256,0,39,0.025295
256,0,40,0.030536
256,0,41,0.041367
256,0,42,0.021592
256,0,43,0.021382
256,0,44,0.020893
256,0,45,0.021103
256,0,46,0.021312
256,0,47,0.020754
256,0,48,0.020614
256,0,49,0.021871
256,0,50,0.020403
256,0,51,0.022011
256,0,52,0.021522
256,0,53,0.021382
256,0,54,0.021382
256,0,55,0.021103
256,0,56,0.021452
256,0,57,0.024596
256,0,58,0.021382
256,0,59,0.020963
256,0,60,0.021382
256,0,61,0.021032
256,0,62,0.021941
256,0,63,0.021452
256,0,64,0.021382
256,0,65,0.020962
256,0,66,0.021102
256,0,67,0.021312
256,0,68,0.021382
256,0,69,0.020962
256,0,70,0.021172
256,0,71,0.021522
256,0,72,0.021033
256,0,73,0.020963
256,0,74,0.021872
256,0,75,0.021592
256,0,76,0.021103
256,0,77,0.021382
256,0,78,0.021452
256,0,79,0.021173
256,0,80,0.021872
256,0,81,0.021312
256,0,82,0.021521
256,0,83,0.020963
256,0,84,0.020963
256,0,85,0.02823
256,0,86,0.021522
256,0,87,0.021103
256,0,88,0.021312
256,0,89,0.021452
256,0,90,0.020683
256,0,91,0.021382
256,0,92,0.021382
256,0,93,0.021452
256,0,94,0.021243
256,0,95,0.021452
256,0,96,0.021522
256,0,97,0.020543
256,0,98,0.021383
256,0,99,0.021941
256,0,100,0.021173
512,0,1,0.102718
512,0,2,0.106421
512,0,3,0.097268
512,0,4,0.096848
512,0,5,0.097198
512,0,6,0.096918
512,0,7,0.096429
512,0,8,0.097408
512,0,9,0.097407
512,0,10,0.097128
512,0,11,0.097617
512,0,12,0.10719
512,0,13,0.097967
512,0,14,0.097827
512,0,15,0.096918
512,0,16,0.097128
512,0,17,0.096918
512,0,18,0.097127
512,0,19,0.097198
512,0,20,0.096429
512,0,21,0.108797
512,0,22,0.12459
512,0,23,0.097408
512,0,24,0.097337
512,0,25,0.097338
512,0,26,0.097198
512,0,27,0.097408
512,0,28,0.097407
512,0,29,0.096918
512,0,30,0.097408
512,0,31,0.108797
512,0,32,0.104535
512,0,33,0.097477
512,0,34,0.097407
512,0,35,0.096848
512,0,36,0.096849
512,0,37,0.096709
512,0,38,0.097268
512,0,39,0.097548
512,0,40,0.097268
512,0,41,0.096709
512,0,42,0.104675
512,0,43,0.096848
512,0,44,0.097687
512,0,45,0.097198
512,0,46,0.097408
512,0,47,0.098106
512,0,48,0.097268
512,0,49,0.096778
512,0,50,0.096639
512,0,51,0.101041
512,0,52,0.103417
512,0,53,0.098106
512,0,54,0.096849
512,0,55,0.097338
512,0,56,0.097407
512,0,57,0.097337
512,0,58,0.097687
512,0,59,0.096779
512,0,60,0.097268
512,0,61,0.100342
512,0,62,0.105094
512,0,63,0.097897
512,0,64,0.096848
512,0,65,0.097338
512,0,66,0.096499
512,0,67,0.096848
512,0,68,0.096848
512,0,69,0.097757
512,0,70,0.097337
512,0,71,0.097407
512,0,72,0.104116
512,0,73,0.098805
512,0,74,0.097408
512,0,75,0.097268
512,0,76,0.097058
512,0,77,0.097267
512,0,78,0.097197
512,0,79,0.097268
512,0,80,0.097268
512,0,81,0.108937
512,0,82,0.105443
512,0,83,0.097197
512,0,84,0.096988
512,0,85,0.097338
512,0,86,0.097827
512,0,87,0.096918
512,0,88,0.097407
512,0,89,0.096919
512,0,90,0.097128
512,0,91,0.096919
512,0,92,0.105094
512,0,93,0.097267
512,0,94,0.097198
512,0,95,0.096569
512,0,96,0.096848
512,0,97,0.097268
512,0,98,0.097547
512,0,99,0.097338
512,0,100,0.097198
1024,0,1,5.21246
1024,0,2,5.236
1024,0,3,5.25332
1024,0,4,5.22378
1024,0,5,5.24424
1024,0,6,5.24487
1024,0,7,5.22853
1024,0,8,5.20953
1024,0,9,5.21952
1024,0,10,5.23377
1024,0,11,5.22525
1024,0,12,5.22371
1024,0,13,5.23565
1024,0,14,5.2309
1024,0,15,5.24655
1024,0,16,5.25192
1024,0,17,5.23132
1024,0,18,5.23041
1024,0,19,5.22371
1024,0,20,5.20667
1024,0,21,5.22085
1024,0,22,5.23055
1024,0,23,5.22406
1024,0,24,5.2279
1024,0,25,5.22273
1024,0,26,5.22769
1024,0,27,5.23062
1024,0,28,5.22441
1024,0,29,5.22888
1024,0,30,5.22469
1024,0,31,5.21847
1024,0,32,5.22399
1024,0,33,5.22497
1024,0,34,5.23907
1024,0,35,5.23551
1024,0,36,5.21707
1024,0,37,5.20918
1024,0,38,5.20618
1024,0,39,5.23949
1024,0,40,5.21938
1024,0,41,5.23467
1024,0,42,5.21267
1024,0,43,5.21414
1024,0,44,5.21603
1024,0,45,5.23565
1024,0,46,5.20834
1024,0,47,5.23244
1024,0,48,5.26177
1024,0,49,5.21044
1024,0,50,5.19933
1024,0,51,5.21288
1024,0,52,5.22811
1024,0,53,5.2418
1024,0,54,5.2117
1024,0,55,5.21316
1024,0,56,5.21659
1024,0,57,5.21805
1024,0,58,5.23649
1024,0,59,5.22622
1024,0,60,5.23314
1024,0,61,5.23188
1024,0,62,5.22308
1024,0,63,5.22573
1024,0,64,5.23335
1024,0,65,5.21742
1024,0,66,5.23377
1024,0,67,5.21561
1024,0,68,5.23551
1024,0,69,5.23286
1024,0,70,5.23565
1024,0,71,5.21589
1024,0,72,5.22971
1024,0,73,5.26966
1024,0,74,5.23272
1024,0,75,5.15603
1024,0,76,5.24103
1024,0,77,5.22063
1024,0,78,5.23837
1024,0,79,5.22336
1024,0,80,5.23747
1024,0,81,5.22399
1024,0,82,5.23328
1024,0,83,5.24564
1024,0,84,5.24005
1024,0,85,5.2147
1024,0,86,5.21575
1024,0,87,5.23412
1024,0,88,5.22084
1024,0,89,5.22168
1024,0,90,5.21945
1024,0,91,5.21519
1024,0,92,5.2316
1024,0,93,5.22455
1024,0,94,5.22615
1024,0,95,5.22958
1024,0,96,5.20667
1024,0,97,5.23614
1024,0,98,5.22238
1024,0,99,5.2205
1024,0,100,5.22895
2048,0,1,21.3517
2048,0,2,21.3346
2048,0,3,21.3834
2048,0,4,21.3783
2048,0,5,21.4161
2048,0,6,21.3959
2048,0,7,21.3803
2048,0,8,21.3826
2048,0,9,21.3781
2048,0,10,21.1975
2048,0,11,21.3911
2048,0,12,21.3554
2048,0,13,21.3733
2048,0,14,21.3858
2048,0,15,22.6306
2048,0,16,24.9995
2048,0,17,21.3625
2048,0,18,21.5078
2048,0,19,21.3961
2048,0,20,21.3554
2048,0,21,21.3802
2048,0,22,21.3802
2048,0,23,21.3719
2048,0,24,21.4203
2048,0,25,21.3765
2048,0,26,21.3957
2048,0,27,21.3915
2048,0,28,21.3718
2048,0,29,21.393
2048,0,30,21.3996
2048,0,31,21.4302
2048,0,32,21.3814
2048,0,33,20.443
2048,0,34,21.145
2048,0,35,21.3232
2048,0,36,21.3868
2048,0,37,21.3675
2048,0,38,21.3885
2048,0,39,21.3861
2048,0,40,21.3643
2048,0,41,21.3828
2048,0,42,21.3961
